Stat;Account;No;Date;Net due dt;LC amnt;DD;CCAr;PayT;Type
**;2797124159;;;;-151596826.04;;1097;;
**;27971244;;;;0.00;;1098;;
**;2797159679;;;;54600.69;;1098;;
**;27977705;;;;-52265498.17;;1097;;
**;27990874;;;;-2042159178.9159;;1097;;
**;27991117;;;;-1095591590.02;;1097;;
**;27991117;;;;-7842756.8159;;1098;;
**;27991292;;;;-26015942.11;;1097;;
**;2799159820;;;;-81.75;;1097;;
**;27995762;;;;-159546.1590;;1097;;
**;27995762;;;;-928.61;;1098;;
**;27997110;;;;-56044.85;;1097;;
**;27997110;;;;-5557.80;;1098;;
**;2799711598;;;;-5995858.47;;1098;;
**;27997599;;;;-0.02;;1097;;
**;27997599;;;;-5124.85;;1098;;
**;27998680;;;;2868.4159;;1097;;
**;27998680;;;;171596802.98;;1098;;
**;27998771;;;;-18055414.76;;1097;;
**;27998774;;;;222581599.82;;1098;;
**;27998892;;;;-9977896.56;;1098;;
**;27999575;;;;41159044.1592;;1098;;
**;662141595;;;;12479977.65;;1097;;
**;6622254;;;;-1719694.10;;1098;;
**;66215901595;;;;-261918159.51;;1098;;
**;662515979;;;;-615970195.95;;1098;;
**;6625572;;;;-449851598.15;;1098;;
**;6625745;;;;-2715997027.28;;1097;;
**;6625745;;;;-415958226.46;;1098;;
**;6627008;;;;0.00;;1097;;
**;662701159;;;;0.00;;1097;;
**;6627015;;;;-601590.92;;1097;;
**;6627016;;;;-118950.09;;1097;;
**;6627017;;;;-210284159.96;;1097;;
**;6627021;;;;-166184.01;;1097;;
**;662702159;;;;-1277687.62;;1097;;
**;6627025;;;;-159702784.2159;;1097;;
**;6627028;;;;-115915920.4159;;1097;;
**;662701592;;;;-8992060.70;;1097;;
**;66270159159;;;;-678144.56;;1097;;
**;6627041;;;;-1592896159.19;;1097;;
**;662704159;;;;-1257555.41;;1097;;
**;6627045;;;;-688.41;;1097;;
**;6627046;;;;-1162445.69;;1097;;
**;6627050;;;;-851596.78;;1097;;
**;662705159;;;;-578886.0159;;1097;;
**;6627057;;;;-2159159.09;;1097;;
**;6627058;;;;-5072254.98;;1097;;
**;662706159;;;;-1867.40;;1097;;
**;6627064;;;;-885155.08;;1097;;
**;6627066;;;;-659254.92;;1097;;
**;6627067;;;;2502886.21;;1097;;
**;6627069;;;;-159016645.25;;1097;;
**;6627070;;;;-44159159422.86;;1097;;
**;6627468;;;;-9.1599;;1098;;
**;6627490;;;;0.00;;1097;;
**;6627492;;;;-8274461.96;;1097;;
**;1598621;;;;-14504.78;;1097;;
**;314715976;;;;-625021.4159;;1097;;
**;314715976;;;;-15922915996.81;;1098;;
**;3147615;;;;-96882.28;;1097;;
**;3148281;;;;-2546157.68;;1098;;
**;159590010;;;;-9526495.19;;1097;;
**;159591252;;;;-286015952.85;;1097;;
**;159592702;;;;-101269.8159;;1097;;
**;15959159291;;;;-1199074.77;;1098;;
****;;;;;-81157201592.12;;;;
